casa,fora,gols_casa,gols_fora,resultado
Soviet Union,1.0,2.0,1.0,casa
England,0.0,1.0,0.0,casa
Germany FR,0.0,4.0,0.0,casa
Soviet Union,1.0,2.0,1.0,casa
Portugal,3.0,5.0,3.0,casa
Germany FR,1.0,2.0,1.0,casa
England,1.0,2.0,1.0,casa
Portugal,1.0,2.0,1.0,casa
England,2.0,4.0,2.0,casa
Mexico,0.0,0.0,0.0,empate
Uruguay,0.0,2.0,0.0,casa
Peru,2.0,3.0,2.0,casa
England,0.0,1.0,0.0,casa
Italy,0.0,1.0,0.0,casa
Germany FR,1.0,2.0,1.0,casa
Brazil,1.0,4.0,1.0,casa
Belgium,0.0,3.0,0.0,casa
Uruguay,0.0,0.0,0.0,empate
Peru,0.0,3.0,0.0,casa
Romania,1.0,2.0,1.0,casa
Soviet Union,1.0,4.0,1.0,casa
Sweden,1.0,1.0,1.0,empate
Germany FR,2.0,5.0,2.0,casa
Brazil,0.0,1.0,0.0,casa
Mexico,0.0,4.0,0.0,casa
Sweden,0.0,1.0,0.0,casa
Germany FR,1.0,3.0,1.0,casa
Brazil,2.0,3.0,2.0,casa
Soviet Union,0.0,2.0,0.0,casa
Italy,0.0,0.0,0.0,empate
Bulgaria,1.0,1.0,1.0,empate
England,0.0,1.0,0.0,casa
Mexico,0.0,1.0,0.0,casa
Italy,1.0,4.0,1.0,casa
Germany FR,2.0,3.0,2.0,casa
Brazil,2.0,4.0,2.0,casa
Uruguay,0.0,1.0,0.0,casa
Brazil,1.0,3.0,1.0,casa
Italy,3.0,4.0,3.0,casa
Germany FR,0.0,1.0,0.0,casa
Brazil,1.0,4.0,1.0,casa
Brazil,0.0,0.0,0.0,empate
Germany FR,0.0,1.0,0.0,casa
German DR,0.0,2.0,0.0,casa
Zaire,2.0,0.0,2.0,fora
Uruguay,2.0,0.0,2.0,fora
Sweden,0.0,0.0,0.0,empate
Italy,1.0,3.0,1.0,casa
Poland,2.0,3.0,2.0,casa
Australia,3.0,0.0,3.0,fora
Scotland,0.0,0.0,0.0,empate
Chile,1.0,1.0,1.0,empate
Yugoslavia,0.0,9.0,0.0,casa
Netherlands,0.0,0.0,0.0,empate
Bulgaria,1.0,1.0,1.0,empate
Haiti,7.0,0.0,7.0,fora
Argentina,1.0,1.0,1.0,empate
Scotland,1.0,1.0,1.0,empate
Australia,0.0,0.0,0.0,empate
Zaire,3.0,0.0,3.0,fora
German DR,0.0,1.0,0.0,casa
Bulgaria,4.0,1.0,4.0,fora
Argentina,1.0,4.0,1.0,casa
Sweden,0.0,3.0,0.0,casa
Poland,1.0,2.0,1.0,casa
Yugoslavia,2.0,0.0,2.0,fora
Brazil,0.0,1.0,0.0,casa
Netherlands,0.0,4.0,0.0,casa
Sweden,1.0,0.0,1.0,fora
Argentina,2.0,1.0,2.0,fora
Poland,1.0,2.0,1.0,casa
German DR,2.0,0.0,2.0,fora
Germany FR,2.0,4.0,2.0,casa
Poland,1.0,0.0,1.0,fora
Netherlands,0.0,2.0,0.0,casa
Argentina,1.0,1.0,1.0,empate
Sweden,1.0,2.0,1.0,casa
Brazil,1.0,0.0,1.0,fora
Netherlands,2.0,1.0,2.0,fora
Germany FR,0.0,0.0,0.0,empate
Italy,1.0,2.0,1.0,casa
Tunisia,1.0,3.0,1.0,casa
Argentina,1.0,2.0,1.0,casa
Sweden,1.0,1.0,1.0,empate
Austria,1.0,2.0,1.0,casa
Peru,1.0,3.0,1.0,casa
Netherlands,0.0,3.0,0.0,casa
Italy,1.0,3.0,1.0,casa
Poland,0.0,1.0,0.0,casa
Germany FR,0.0,6.0,0.0,casa
Argentina,1.0,2.0,1.0,casa
Brazil,0.0,0.0,0.0,empate
Austria,0.0,1.0,0.0,casa
Scotland,1.0,1.0,1.0,empate
Netherlands,0.0,0.0,0.0,empate
France,1.0,3.0,1.0,casa
Poland,1.0,3.0,1.0,casa
Germany FR,0.0,0.0,0.0,empate
Italy,0.0,1.0,0.0,casa
Brazil,0.0,1.0,0.0,casa
Spain,0.0,1.0,0.0,casa
Peru,1.0,4.0,1.0,casa
Scotland,2.0,3.0,2.0,casa
Germany FR,0.0,0.0,0.0,empate
Netherlands,1.0,5.0,1.0,casa
Brazil,0.0,3.0,0.0,casa
Argentina,0.0,2.0,0.0,casa
Poland,0.0,1.0,0.0,casa
Italy,0.0,1.0,0.0,casa
Germany FR,2.0,2.0,2.0,empate
Argentina,0.0,0.0,0.0,empate
Netherlands,1.0,2.0,1.0,casa
Austria,2.0,3.0,2.0,casa
Brazil,1.0,3.0,1.0,casa
Argentina,0.0,6.0,0.0,casa
Brazil,1.0,2.0,1.0,casa
Argentina,1.0,3.0,1.0,casa
Argentina,1.0,0.0,1.0,fora
Italy,0.0,0.0,0.0,empate
Brazil,1.0,2.0,1.0,casa
Peru,0.0,0.0,0.0,empate
Hungary,1.0,10.0,1.0,casa
Scotland,2.0,5.0,2.0,casa
Germany FR,2.0,1.0,2.0,fora
England,1.0,3.0,1.0,casa
Spain,1.0,1.0,1.0,empate
Chile,1.0,0.0,1.0,fora
Czechoslovakia,1.0,1.0,1.0,empate
Yugoslavia,0.0,0.0,0.0,empate
Italy,1.0,1.0,1.0,empate
Argentina,1.0,4.0,1.0,casa
Brazil,1.0,4.0,1.0,casa
Poland,0.0,0.0,0.0,empate
Belgium,0.0,1.0,0.0,casa
Soviet Union,0.0,3.0,0.0,casa
Germany FR,1.0,4.0,1.0,casa
England,0.0,2.0,0.0,casa
Spain,1.0,2.0,1.0,casa
Algeria,2.0,0.0,2.0,fora
France,1.0,4.0,1.0,casa
Honduras,1.0,1.0,1.0,empate
Poland,1.0,5.0,1.0,casa
Belgium,1.0,1.0,1.0,empate
Soviet Union,2.0,2.0,2.0,empate
Italy,1.0,1.0,1.0,empate
Argentina,0.0,2.0,0.0,casa
Brazil,0.0,4.0,0.0,casa
Algeria,2.0,3.0,2.0,casa
France,1.0,1.0,1.0,empate
Honduras,1.0,0.0,1.0,fora
Germany FR,0.0,1.0,0.0,casa
England,0.0,1.0,0.0,casa
Northern Ireland,0.0,1.0,0.0,casa
Austria,1.0,0.0,1.0,fora
Poland,0.0,3.0,0.0,casa
Italy,1.0,2.0,1.0,casa
Germany FR,0.0,0.0,0.0,empate
Austria,2.0,2.0,2.0,empate
Belgium,1.0,0.0,1.0,fora
Argentina,3.0,1.0,3.0,fora
Germany FR,1.0,2.0,1.0,casa
France,1.0,4.0,1.0,casa
Poland,0.0,0.0,0.0,empate
Italy,2.0,3.0,2.0,casa
Spain,0.0,0.0,0.0,empate
Poland,2.0,0.0,2.0,fora
Germany FR,3.0,3.0,3.0,empate
Poland,2.0,3.0,2.0,casa
Italy,1.0,3.0,1.0,casa
Bulgaria,1.0,1.0,1.0,empate
Canada,1.0,0.0,1.0,fora
Spain,1.0,0.0,1.0,fora
Soviet Union,0.0,6.0,0.0,casa
Argentina,1.0,3.0,1.0,casa
Morocco,0.0,0.0,0.0,empate
Algeria,1.0,1.0,1.0,empate
Belgium,2.0,1.0,2.0,fora
Portugal,0.0,1.0,0.0,casa
Paraguay,0.0,1.0,0.0,casa
Scotland,1.0,0.0,1.0,fora
Uruguay,1.0,1.0,1.0,empate
Italy,1.0,1.0,1.0,empate
France,1.0,1.0,1.0,empate
Korea Republic,1.0,1.0,1.0,empate
Hungary,0.0,2.0,0.0,casa
Brazil,0.0,1.0,0.0,casa
England,0.0,0.0,0.0,empate
Northern Ireland,2.0,1.0,2.0,fora
Mexico,1.0,1.0,1.0,empate
Poland,0.0,1.0,0.0,casa
Iraq,2.0,1.0,2.0,fora
Denmark,1.0,6.0,1.0,casa
Germany FR,1.0,2.0,1.0,casa
Hungary,3.0,0.0,3.0,fora
Soviet Union,0.0,2.0,0.0,casa
Korea Republic,3.0,2.0,3.0,fora
Argentina,0.0,2.0,0.0,casa
Paraguay,2.0,2.0,2.0,empate
Iraq,1.0,0.0,1.0,fora
Portugal,3.0,1.0,3.0,fora
England,0.0,3.0,0.0,casa
Northern Ireland,3.0,0.0,3.0,fora
Algeria,3.0,0.0,3.0,fora
Scotland,0.0,0.0,0.0,empate
Denmark,0.0,2.0,0.0,casa
Soviet Union,4.0,3.0,4.0,fora
Mexico,0.0,2.0,0.0,casa
Argentina,0.0,1.0,0.0,casa
Brazil,0.0,4.0,0.0,casa
Italy,2.0,0.0,2.0,fora
Morocco,1.0,0.0,1.0,fora
England,0.0,3.0,0.0,casa
Denmark,5.0,1.0,5.0,fora
Brazil,1.0,1.0,1.0,empate
Germany FR,0.0,0.0,0.0,empate
Spain,1.0,1.0,1.0,empate
Argentina,1.0,2.0,1.0,casa
France,2.0,0.0,2.0,fora
Argentina,0.0,2.0,0.0,casa
France,2.0,4.0,2.0,casa
Argentina,2.0,3.0,2.0,casa
Argentina,1.0,0.0,1.0,fora
Soviet Union,2.0,0.0,2.0,fora
"rn"">United Arab Emirates",2.0,0.0,2.0,fora
Italy,0.0,1.0,0.0,casa
USA,5.0,1.0,5.0,fora
Brazil,1.0,2.0,1.0,casa
Germany FR,1.0,4.0,1.0,casa
Costa Rica,0.0,1.0,0.0,casa
England,1.0,1.0,1.0,empate
Belgium,0.0,2.0,0.0,casa
Netherlands,1.0,1.0,1.0,empate
Uruguay,0.0,0.0,0.0,empate
Argentina,0.0,2.0,0.0,casa
Cameroon,1.0,2.0,1.0,casa
Yugoslavia,0.0,1.0,0.0,casa
Italy,0.0,1.0,0.0,casa
Austria,1.0,0.0,1.0,fora
Germany FR,1.0,5.0,1.0,casa
Brazil,0.0,1.0,0.0,casa
Sweden,2.0,1.0,2.0,fora
England,0.0,0.0,0.0,empate
"rn"">Republic of Ireland",0.0,0.0,0.0,empate
Korea Republic,3.0,1.0,3.0,fora
Belgium,1.0,3.0,1.0,casa
Argentina,1.0,1.0,1.0,empate
Cameroon,4.0,0.0,4.0,fora
Germany FR,1.0,1.0,1.0,empate
Yugoslavia,1.0,4.0,1.0,casa
Italy,0.0,2.0,0.0,casa
Austria,1.0,2.0,1.0,casa
Brazil,0.0,1.0,0.0,casa
Sweden,2.0,1.0,2.0,fora
Korea Republic,1.0,0.0,1.0,fora
Belgium,2.0,1.0,2.0,fora
"rn"">Republic of Ireland",1.0,1.0,1.0,empate
England,0.0,1.0,0.0,casa
Cameroon,1.0,2.0,1.0,casa
Czechoslovakia,1.0,4.0,1.0,casa
Brazil,1.0,0.0,1.0,fora
Germany FR,1.0,2.0,1.0,casa
"rn"">Republic of Ireland",0.0,0.0,0.0,empate
Italy,0.0,2.0,0.0,casa
Spain,2.0,1.0,2.0,fora
England,0.0,1.0,0.0,casa
Yugoslavia,0.0,0.0,0.0,empate
Italy,0.0,1.0,0.0,casa
Germany FR,0.0,1.0,0.0,casa
England,2.0,3.0,2.0,casa
Italy,1.0,1.0,1.0,empate
Germany FR,1.0,1.0,1.0,empate
Italy,1.0,2.0,1.0,casa
Germany FR,0.0,1.0,0.0,casa
Spain,2.0,2.0,2.0,empate
Germany,0.0,1.0,0.0,casa
USA,1.0,1.0,1.0,empate
Italy,1.0,0.0,1.0,fora
Colombia,3.0,1.0,3.0,fora
Belgium,0.0,1.0,0.0,casa
Norway,0.0,1.0,0.0,casa
Cameroon,2.0,2.0,2.0,empate
Netherlands,1.0,2.0,1.0,casa
Brazil,0.0,2.0,0.0,casa
Argentina,0.0,4.0,0.0,casa
Nigeria,0.0,3.0,0.0,casa
Germany,1.0,1.0,1.0,empate
Romania,4.0,1.0,4.0,fora
USA,1.0,2.0,1.0,casa
Italy,0.0,1.0,0.0,casa
Korea Republic,0.0,0.0,0.0,empate
Mexico,1.0,2.0,1.0,casa
Sweden,1.0,3.0,1.0,casa
Brazil,0.0,3.0,0.0,casa
Belgium,0.0,1.0,0.0,casa
Saudi Arabia,1.0,2.0,1.0,casa
Argentina,1.0,2.0,1.0,casa
Bulgaria,0.0,4.0,0.0,casa
USA,1.0,0.0,1.0,fora
Switzerland,2.0,0.0,2.0,fora
Germany,2.0,3.0,2.0,casa
Bolivia,3.0,1.0,3.0,fora
"rn"">Republic of Ireland",0.0,0.0,0.0,empate
Brazil,1.0,1.0,1.0,empate
Italy,1.0,1.0,1.0,empate
Russia,1.0,6.0,1.0,casa
Morocco,2.0,1.0,2.0,fora
Belgium,1.0,0.0,1.0,fora
Greece,2.0,0.0,2.0,fora
Argentina,2.0,0.0,2.0,fora
Germany,2.0,3.0,2.0,casa
Spain,0.0,3.0,0.0,casa
Saudi Arabia,3.0,1.0,3.0,fora
Romania,2.0,3.0,2.0,casa
Netherlands,0.0,2.0,0.0,casa
Brazil,0.0,1.0,0.0,casa
Nigeria,2.0,1.0,2.0,fora
Mexico,1.0,1.0,1.0,empate
Italy,1.0,2.0,1.0,casa
Netherlands,3.0,2.0,3.0,fora
Bulgaria,1.0,2.0,1.0,casa
Romania,2.0,2.0,2.0,empate
Bulgaria,2.0,1.0,2.0,fora
Sweden,1.0,0.0,1.0,fora
Sweden,0.0,4.0,0.0,casa
Brazil,0.0,0.0,0.0,empate
Brazil,1.0,2.0,1.0,casa
Morocco,2.0,2.0,2.0,empate
Italy,2.0,2.0,2.0,empate
Cameroon,1.0,1.0,1.0,empate
Paraguay,0.0,0.0,0.0,empate
Saudi Arabia,1.0,0.0,1.0,fora
France,0.0,3.0,0.0,casa
Spain,3.0,2.0,3.0,fora
Korea Republic,3.0,1.0,3.0,fora
Netherlands,0.0,0.0,0.0,empate
Argentina,0.0,1.0,0.0,casa
Yugoslavia,0.0,1.0,0.0,casa
Jamaica,3.0,1.0,3.0,fora
England,0.0,2.0,0.0,casa
Romania,0.0,1.0,0.0,casa
Germany,0.0,2.0,0.0,casa
Scotland,1.0,1.0,1.0,empate
Brazil,0.0,3.0,0.0,casa
Chile,1.0,1.0,1.0,empate
Italy,0.0,3.0,0.0,casa
South Africa,1.0,1.0,1.0,empate
France,0.0,4.0,0.0,casa
Nigeria,0.0,1.0,0.0,casa
Spain,0.0,0.0,0.0,empate
Japan,1.0,0.0,1.0,fora
Belgium,2.0,2.0,2.0,empate
Netherlands,0.0,5.0,0.0,casa
Germany,2.0,2.0,2.0,empate
Argentina,0.0,5.0,0.0,casa
USA,2.0,1.0,2.0,fora
Colombia,0.0,1.0,0.0,casa
Romania,1.0,2.0,1.0,casa
Italy,1.0,2.0,1.0,casa
Chile,1.0,1.0,1.0,empate
Scotland,3.0,0.0,3.0,fora
Brazil,2.0,1.0,2.0,fora
France,1.0,2.0,1.0,casa
South Africa,2.0,2.0,2.0,empate
Spain,1.0,6.0,1.0,casa
Nigeria,3.0,1.0,3.0,fora
Belgium,1.0,1.0,1.0,empate
Netherlands,2.0,2.0,2.0,empate
Germany,0.0,2.0,0.0,casa
USA,1.0,0.0,1.0,fora
Japan,2.0,1.0,2.0,fora
Argentina,0.0,1.0,0.0,casa
Romania,1.0,1.0,1.0,empate
Colombia,2.0,0.0,2.0,fora
Italy,0.0,1.0,0.0,casa
Brazil,1.0,4.0,1.0,casa
France,0.0,1.0,0.0,casa
Nigeria,4.0,1.0,4.0,fora
Germany,1.0,2.0,1.0,casa
Netherlands,1.0,2.0,1.0,casa
Romania,1.0,0.0,1.0,fora
Argentina,2.0,2.0,2.0,empate
Italy,0.0,0.0,0.0,empate
Brazil,2.0,3.0,2.0,casa
Netherlands,1.0,2.0,1.0,casa
Germany,3.0,0.0,3.0,fora
Brazil,1.0,1.0,1.0,empate
France,1.0,2.0,1.0,casa
Netherlands,2.0,1.0,2.0,fora
Brazil,3.0,0.0,3.0,fora
France,1.0,0.0,1.0,fora
Uruguay,2.0,1.0,2.0,fora
"rn"">Republic of Ireland",1.0,1.0,1.0,empate
Germany,0.0,8.0,0.0,casa
Argentina,0.0,1.0,0.0,casa
Paraguay,2.0,2.0,2.0,empate
England,1.0,1.0,1.0,empate
Spain,1.0,3.0,1.0,casa
Brazil,1.0,2.0,1.0,casa
Italy,0.0,2.0,0.0,casa
Croatia,1.0,0.0,1.0,fora
China PR,2.0,0.0,2.0,fora
Japan,2.0,2.0,2.0,empate
Korea Republic,0.0,2.0,0.0,casa
Russia,0.0,2.0,0.0,casa
USA,2.0,3.0,2.0,casa
Germany,1.0,1.0,1.0,empate
Denmark,1.0,1.0,1.0,empate
Cameroon,0.0,1.0,0.0,casa
France,0.0,0.0,0.0,empate
Sweden,1.0,2.0,1.0,casa
Argentina,1.0,0.0,1.0,fora
Spain,1.0,3.0,1.0,casa
South Africa,0.0,1.0,0.0,casa
Brazil,0.0,4.0,0.0,casa
Italy,2.0,1.0,2.0,fora
Costa Rica,1.0,1.0,1.0,empate
Japan,0.0,1.0,0.0,casa
Mexico,1.0,2.0,1.0,casa
Korea Republic,1.0,1.0,1.0,empate
Portugal,0.0,4.0,0.0,casa
Tunisia,1.0,1.0,1.0,empate
Denmark,0.0,2.0,0.0,casa
Senegal,3.0,3.0,3.0,empate
Saudi Arabia,3.0,0.0,3.0,fora
Cameroon,2.0,0.0,2.0,fora
Sweden,1.0,1.0,1.0,empate
Nigeria,0.0,0.0,0.0,empate
Slovenia,3.0,1.0,3.0,fora
South Africa,3.0,2.0,3.0,fora
Costa Rica,5.0,2.0,5.0,fora
Turkey,0.0,3.0,0.0,casa
Ecuador,0.0,1.0,0.0,casa
Mexico,1.0,1.0,1.0,empate
Tunisia,2.0,0.0,2.0,fora
Portugal,1.0,0.0,1.0,fora
Poland,1.0,3.0,1.0,casa
Belgium,2.0,3.0,2.0,casa
Denmark,3.0,0.0,3.0,fora
Germany,0.0,1.0,0.0,casa
Spain,1.0,1.0,1.0,empate
Sweden,2.0,1.0,2.0,fora
Brazil,0.0,2.0,0.0,casa
Mexico,2.0,0.0,2.0,fora
Japan,1.0,0.0,1.0,fora
Korea Republic,1.0,2.0,1.0,casa
England,2.0,1.0,2.0,fora
Germany,0.0,1.0,0.0,casa
Senegal,1.0,0.0,1.0,fora
Spain,0.0,0.0,0.0,empate
Germany,0.0,1.0,0.0,casa
Brazil,0.0,1.0,0.0,casa
Korea Republic,3.0,2.0,3.0,fora
Germany,2.0,0.0,2.0,fora
Germany,2.0,4.0,2.0,casa
Poland,2.0,0.0,2.0,fora
England,0.0,1.0,0.0,casa
"rn"">Trinidad and Tobago",0.0,0.0,0.0,empate
Argentina,1.0,2.0,1.0,casa
"rn"">Serbia and Montenegro",1.0,0.0,1.0,fora
Mexico,1.0,3.0,1.0,casa
Angola,1.0,0.0,1.0,fora
Australia,1.0,3.0,1.0,casa
USA,3.0,0.0,3.0,fora
Italy,0.0,2.0,0.0,casa
Korea Republic,1.0,2.0,1.0,casa
France,0.0,0.0,0.0,empate
Brazil,0.0,1.0,0.0,casa
Spain,0.0,4.0,0.0,casa
Tunisia,2.0,2.0,2.0,empate
Germany,0.0,1.0,0.0,casa
Ecuador,0.0,3.0,0.0,casa
England,0.0,2.0,0.0,casa
Sweden,0.0,1.0,0.0,casa
Argentina,0.0,6.0,0.0,casa
Netherlands,1.0,2.0,1.0,casa
Mexico,0.0,0.0,0.0,empate
Portugal,0.0,2.0,0.0,casa
Czech Republic,2.0,0.0,2.0,fora
Italy,1.0,1.0,1.0,empate
Japan,0.0,0.0,0.0,empate
Brazil,0.0,2.0,0.0,casa
France,1.0,1.0,1.0,empate
Togo,2.0,0.0,2.0,fora
Saudi Arabia,4.0,0.0,4.0,fora
Spain,1.0,3.0,1.0,casa
Ecuador,3.0,0.0,3.0,fora
Costa Rica,2.0,1.0,2.0,fora
Sweden,2.0,2.0,2.0,empate
Paraguay,0.0,2.0,0.0,casa
Iran,1.0,1.0,1.0,empate
Portugal,1.0,2.0,1.0,casa
Netherlands,0.0,0.0,0.0,empate
C�te d'Ivoire,2.0,3.0,2.0,casa
Czech Republic,2.0,0.0,2.0,fora
Ghana,1.0,2.0,1.0,casa
Japan,4.0,1.0,4.0,fora
Croatia,2.0,2.0,2.0,empate
Ukraine,0.0,1.0,0.0,casa
Saudi Arabia,1.0,0.0,1.0,fora
Togo,2.0,0.0,2.0,fora
Switzerland,0.0,2.0,0.0,casa
Germany,0.0,2.0,0.0,casa
Argentina,1.0,2.0,1.0,casa
